video_id,title,published_at,channel,view_count,like_count,comment_count,duration,platform
AyQZXlZo4jk,90 Million views || Instagram most viral reel🤩#trending #youtubeshorts #shorts #instagram #reels,2025-04-27T08:11:54Z,Anamika jha shorts 1.5M views,33206500,174289,1558,PT12S,youtube
753HeVgU_-k,Kurta set #viral #short #shorts #viralvideo #viralshorts #shortvideo #youtubeshorts #ytshorts #vlog,2026-04-13T05:19:15Z,Poojaga Vlogs,66738,0,0,PT23S,youtube
EJwPYXDNzPk,🐈 Cat become a chef #trending #viral #shorts #youtubeshorts,2026-04-13T13:25:20Z,Babba Animation ,6685,0,0,PT10S,youtube
0LAe4etu1hw,Indian Biscuits Fact 😂 | Viral Comedy Video| Funny Whatsapp Status #priyalkukreja #shorts #ytshorts,2021-09-12T04:30:01Z,Priyal Kukreja,131501866,2046734,7225,PT13S,youtube
gzhUIKkRtEM,best funny video😆#shorts #viral #funny #trending #comedy,2025-08-22T11:13:17Z,🤣 মজা মজা বাংলা 🤣,120828349,558379,1122,PT16S,youtube
fJw33GyM8FM,"""Mummy ke new new tricks."" 😝😂🤪 #comedy #relatable #funny #shorts",2024-10-14T12:30:28Z,Radhika Maroo,150349600,1263173,3486,PT13S,youtube
TnxaGsKFlx0,Congratulations 🥳❤️ #prashulovers #prasvcreation #layekfam #prashantrajput #viral #shorts #trending,2024-07-21T04:41:07Z,Prashant Rajput,13453668,495657,1863,PT15S,youtube
60HByJ5i2vo,Gobar wali lollipop🍭😱 #shorts #chocolate #prank #viral,2025-07-07T14:13:17Z,Mansi Ranwa,4824825,22769,13,PT13S,youtube
6dNwIlpfDjE,Ferrero Chocolate Milkshake #shorts #asmrcooking #viral,2026-04-13T13:23:13Z,Bharat ASMR,37861,0,4,PT16S,youtube
_T_O2y6EOXM,🫵 10 15 Views 🚀How To Viral Short Video On YouTube | Shorts Viral Kaise Kare| Short Viral Kaise Kare,2025-07-30T13:53:53Z,Manish Techs ,1377789,0,5163,PT30S,youtube
KplR3fgGwtk,SE EU FOSSE SUA CASA? 🤔🏠 #roblox #viral #shorts,2026-04-13T17:07:51Z,Mrkitty,5199,695,12,PT28S,youtube
ZS8shAGbLiE,Viral ! Girls hearing aid mold making #shorts #ashortaday #tranding #facts #shortsfeed #vlog,2025-06-14T11:16:23Z,Make Facts Of,16581708,0,47,PT17S,youtube
5zdxJJena0g,#salon #reels #shorts #haircut #hairstyle #viralreels #viralshorts #shortvideo #trending,2025-06-15T01:08:00Z,Monu Thakur Salon,139559006,217680,190,PT16S,youtube
kiMTU5mz8wY,Trending sarees#kanakadurgacollections #trending #shortvideos #shorts#youtube#viral #viralshorts,2026-04-13T12:00:34Z,KanakaDurgaCollections,11583,289,0,PT1M1S,youtube
PlPIg9RR1Z4,Cute Baby Girl helps papa and brother get their lollipop 🥰🍭#shorts #viral #trending,2025-02-27T13:29:00Z,Misti Happy Lifestyle Games & Shorts,14457835,0,27,PT14S,youtube
lGOuDib4T6k,ਆਹ ਇੱਜਤ ਕਰਦੇ ਸਾਡੇ ਗੁਰੂ ਘਰਾਂ ਦੀ ਇਹ ਪ੍ਰਵਾਸੀ #viral #shorts #punjabi,2026-04-12T09:01:31Z,Mohammad Ikram,16290,711,24,PT51S,youtube
l5amjQNsKgw,love nowaday 💔💔💔 #funny #viral #shorts,2024-01-25T14:07:11Z,Bridon Production LLC (Seany Tv),284932167,4248698,4544,PT1M,youtube
QH--C8csee0,AUTOTUNE vs NO AUTOTUNE MUSIC | #viral #shorts || Mj Indian Hero 2,2026-04-13T18:02:06Z,Mj Indian Hero 2,2204,0,5,PT29S,youtube
jx_VHbdMvW8,She Was Applying Mascara On Her Face🤯😱 #shorts #viral #trending #popular #education #viralvideos,2025-10-17T03:56:00Z,Kiddy FaCts,114206765,3729198,85686,PT36S,youtube
LrFVh38Wxw0,oopsies! who said that? 🫣 #makeupshorts #shorts #viral #muslim,2026-04-05T18:24:53Z,Dani Bedazzled,6123313,158423,1679,PT7S,youtube
Fw6xpbTqrtw,Respect For Vipin Sir 💯#alakhpandey #physicswallah #motivation #trending #viral #shorts,2026-04-13T12:09:35Z,Success Formula ,6791,189,0,PT30S,youtube
CjXd2Mo8nfM,Wait For Twist🤣🤣.. #trending #shorts #real #viral,2024-01-13T14:25:27Z,PR PRESENTS,54716148,1271959,900,PT52S,youtube
WWc0xtJl_VE,जिसका इरादा ❤️‍🩹 #shots #viral  #shorts,2026-04-13T15:29:18Z,_2alfaz,6462,0,2,PT9S,youtube
dhRfJecAIx8,FROZEN! ❄️ #shorts #trending #music #song #fyp #fun #funny #viral #viralvideo #cute #viralshorts,2025-09-28T14:33:54Z,HallieOnStage114,56476625,290178,0,PT17S,youtube
WBbJTswlOvs,Pomegranate 🍑🤣 | #shorts  #viral #funny #trending #viralshorts #ytshorts,2025-09-20T14:31:00Z,Mamabhagner Rannaghor,49305668,310595,35,PT51S,youtube
753HeVgU_-k,Kurta set #viral #short #shorts #viralvideo #viralshorts #shortvideo #youtubeshorts #ytshorts #vlog,2026-04-13T05:19:15Z,Poojaga Vlogs,66738,0,0,PT23S,youtube
kiMTU5mz8wY,Trending sarees#kanakadurgacollections #trending #shortvideos #shorts#youtube#viral #viralshorts,2026-04-13T12:00:34Z,KanakaDurgaCollections,11583,289,0,PT1M1S,youtube
ezEAvuRu3hk,Beauty Khan VS Sona Dey? 😍💯🥵 #dance #viral #ytshort #shorts,2023-05-27T06:22:23Z,Sona Dey,15774337,427904,1754,PT10S,youtube
KplR3fgGwtk,SE EU FOSSE SUA CASA? 🤔🏠 #roblox #viral #shorts,2026-04-13T17:07:51Z,Mrkitty,5199,695,12,PT28S,youtube
t8-PTLzd-zw,Cute cat dance in the garden |#shorts #trending #catvideos #viralshorts #viral #cat #cute #catdance,2025-10-22T10:05:03Z,All animals lovers ,1414398,8920,6,PT7S,youtube
41Xe6Gc_kLw,मेरे साथ धोखा कर दी 🤪😂🫣#viralvideo #viral #shorts #shortvideo #love #funny #comedy,2025-09-12T15:13:22Z,Naveen Nigam Hit,33005486,249247,224,PT45S,youtube
3KQ1QmBOS2E,Please support kijiye 🙏😢🥹😭 #short #viral #trending #shorts #song #maa,2025-08-31T15:00:46Z,Indian Army Uday 🇮🇳,35837254,174288,367,PT18S,youtube
A_Q2qpbHrqo,"It is 9,999,999$ sir😱🤑 #shorts #funny #viral",2023-03-25T10:00:05Z,CuRe 구래,477422105,11116591,25149,PT30S,youtube
aqWqJFFR44Y,Mummy ko shark ne pakad liyaa 😱🦈 #shorts #viralshorts #viralvideo,2025-10-12T03:40:00Z,Misti Happy Lifestyle Games & Shorts,6730897,0,10,PT5S,youtube
sJQThN5tUDY,Power of pavva 🤡 | The most viral comedy by Maabeta 🔥 #ytshorts #shorts,2025-03-30T05:24:25Z,up wala aryan,233596080,1802711,2818,PT13S,youtube
l52bfaNAlHU,jai veeru ki yaari🤪🤪👭👭 | #shorts #viralshorts #trending #7seven brothers,2022-10-30T12:49:49Z,7seven Brothers,3155445306,23951477,648,PT15S,youtube
fI-D0dyP1oI,happy birthday to you 🎁#shortsfeed#cat#catshorts#viralvideo#viralreels#viral#viralshorts#video,2025-06-16T15:36:45Z,Aqash Naqvi,6953187,32942,54,PT6S,youtube
WWc0xtJl_VE,जिसका इरादा ❤️‍🩹 #shots #viral  #shorts,2026-04-13T15:29:18Z,_2alfaz,6462,0,2,PT9S,youtube
